"","Placement_Code","Slurry_Label","Total_Chl_ug.mL","Chl_ug.cm.2","Chl_per_cell"
"44","PAC V09 B","PAC 44",3.050443662,1.34902989316176,159.378932570336
"45","PAC V09 A","PAC 45",3.82965493,1.67526169245548,123.55345741377
"46","PAC V19 C","PAC 46",3.408521127,1.32010519838984,71.742990138353
"47","PAC V19 B","PAC 47",2.104510563,1.05783982952804,175.000427661296
"48","PAC V19 A","PAC 48",2.874690141,1.32209148120744,57.9254969026075
"49","PAC V17 C","PAC 49",3.412507042,2.19857178623265,76.8986319693435
"50","PAC V17 B","PAC 50",5.086285211,2.78808844278808,368.45923786189
"51","PAC V17 A","PAC 51",3.853355634,1.83511441618173,125.691777144398
"52","PAC V20 C","PAC 52",3.867204225,1.76719394155471,89.0135428631579
"53","PAC V20 B","PAC 53",3.235021127,1.25372399208225,73.1784089417931
"54","PAC V20 A","PAC 54",4.094426056,1.61573030987225,152.034537324679
"55","PAC V14 C","PAC 55",7.986623239,2.35901349270506,237.546718403305
"56","PAC V14 B","PAC 56",8.988123239,2.81000173043462,234.804777004673
"57","PAC V14 A","PAC 57",6.467316901,1.67048417464923,176.365076136277
"58","PAC V13 A","PAC 58",5.492070423,1.94263568810868,180.641692353159
"59","PAC V13 B","PAC 59",3.203573944,1.55534861726461,115.328661984
"60","PAC V13 C","PAC 60",3.515721831,1.87133890680889,84.5491718542729
"61","PRU V01 A","PRU 01",2.224158451,2.54147453666085,34.7392367584762
"62","PRU V01 B","PRU 03",7.580725352,8.68280040582036,180.834757487709
"63","PRU V01 C","PRU 02",11.54806338,9.16393366826904,146.151696024695
"64","PRU V02 A","PRU 06",1.241503521,4.00832107265647,93.9722665126154
"65","PRU V02 B","PRU 05",1.539306338,2.19048216782797,41.4034834603736
"66","PRU V02 C","PRU 04",2.604257042,3.92332648676987,73.2168265522286
"67","PRU V03 A","PRU 09",3.069359155,NA,NA
"68","PRU V03 B","PRU 08",0.3242852113,3.89990873701174,255.27731833536
"69","PRU V03 C","PRU 07",1.725862676,2.58069579060907,80.2322302291653
"70","PRU V04 A","PRU 15",4.136975352,4.45814827966393,148.478434517982
"71","PRU V04 B","PRU 14",4.389739437,4.48242808095308,63.6000530945963
"72","PRU V04 C","PRU 13",1.293852113,1.91044915238943,27.3306006266619
"73","PRU V05 A","PRU 18",1.725080986,2.60493911423141,73.2725046139856
"74","PRU V05 B","PRU 17",3.014926056,4.56407429590258,99.4420303610279
"75","PRU V05 C","PRU 16",3.364070423,5.04281435766256,82.0721974272396
"76","PRU V06 A","PRU 24",0.5974894366,2.58852648955425,119.578902836827
"77","PRU V06 B","PRU 23",0.8293767606,1.18092576400188,52.0919190913021
"78","PRU V06 C","PRU 22",3.143795775,3.49351528734474,73.9480886677291
"79","PRU V07 A","PRU 27",6.755151408,6.96108824256814,242.446285184389
"80","PRU V07 B","PRU 26",5.511038732,7.08916986274272,188.076142622705
"81","PRU V07 C","PRU 25",7.308929577,6.44507220174904,307.131104787245
"82","PRU V08 A","PRU 36",1.341426056,2.01270129856273,63.6126862218795
"83","PRU V08 B","PRU 35",1.278947183,2.03835774416677,130.188002904
"84","PRU V08 C","PRU 34",4.48418662,7.5190931072259,200.565437912727
"85","PRU V09 A","PRU 45",0.164278169,1.44482748204842,121.237288722
"86","PRU V09 B","PRU 44",0.3701126761,1.83664163689236,42.845985092047
"87","PRU V09 C","PRU 43",4.212901408,11.8678182234759,208.142007638761
"88","PRU V10 A","PRU 42",4.203010563,5.76113342167851,170.546902845031
"89","PRU V10 B","PRU 41",1.961200704,5.96122521256792,1052.62990512873
"90","PRU V10 C","PRU 40",2.385880282,3.11263306804418,87.2212828788111
"91","PRU V11 A","PRU 30",2.460038732,3.47003258519313,367.697941107038
"92","PRU V11 B","PRU 29",0.7600246479,2.39613640128098,160.2566257572
"93","PRU V11 C","PRU 28",1.801552817,3.86601897985966,250.267478389835
"94","PRU V12 A","PRU 33",0.6999894366,1.72043938210716,87.9305879507745
"95","PRU V12 B","PRU 32",1.024232394,3.47776394072241,159.133369846737
"96","PRU V12 C","PRU 31",0.9434859155,5.02540897461543,309.463380284
"97","PRU V13 A","PRU 58",0.3290140845,0.975500135892124,76.1764374465883
"98","PRU V13 B","PRU 59",2.952035211,2.69135750045889,31.1506986340375
"99","PRU V13 C","PRU 60",6.030260563,6.43166811644526,70.0839731573858
"100","PRU V14 A","PRU 57",2.392549296,2.57312552746045,58.1300865991111
"101","PRU V14 B","PRU 56",5.214010563,3.53506941056984,58.6911694260286
"102","PRU V14 C","PRU 55",0.06051408451,0.559215576551064,238.18343663136
"103","PRU V15 A","PRU 21",2.476760563,2.23400736533024,33.0832451673122
"104","PRU V15 B","PRU 20",2.948323944,4.37410827844045,32.6583575335385
"105","PRU V15 C","PRU 19",3.304080986,6.10885410311993,47.9294696347518
"106","PRU V16 A","PRU 12",8.783672535,5.41192080067594,137.192599594286
"107","PRU V16 B","PRU 11",4.326112676,3.48132256446994,46.3966743671281
"108","PRU V16 C","PRU 10",3.062471831,3.66869322095127,84.6877456216581
"109","PRU V17 A","PRU 51",4.57821831,4.84391455851262,72.5632238986309
"110","PRU V17 B","PRU 50",9.865232394,8.12636388503257,114.092717050296
"111","PRU V17 C","PRU 49",7.216880282,7.58666796607627,40.1209615677288
"112","PRU V18 A","PRU 39",0.8705246479,1.96641239129758,46.0948656610009
"113","PRU V18 B","PRU 38",2.42490493,6.39100871202582,172.48962297253
"114","PRU V18 C","PRU 37",3.990559859,6.79162025419146,166.503642456085
"115","PRU V19 A","PRU 48",0.8538556338,1.08079951396585,56.3258509715665
"116","PRU V19 B","PRU 47",0.6494295775,0.904955678219811,100.900848041053
"117","PRU V19 C","PRU 46",0.7496338028,0.756502848665886,60.6279174209753
"118","PRU V20 A","PRU 54",1.923278169,3.72718054304274,39.5645794765714
"119","PRU V20 B","PRU 53",3.283133803,6.84166752962587,83.0133703336702
"120","PRU V20 C","PRU 52",3.650679577,4.15871988849871,51.0749104801137
