Nub_ID,Color,Number,Colony,Nutrient Level,Tank Level,Assignment,Species,Partial mortality,Blastate Vol (mL),growth.SA,growth.protein,Total Protein per mL,Total Protein (mg),Protein.SA,Chl.a per ml,Total Chl.a,Chl.a.cm2,Chl.c.per ml,Total Chl.c,Chl.c.cm2,Total chl,Zoox/uL,Zoox/mL,Total Zoox,Zoox.cm2,
G035_Poc2_CH_N0.T3,G,35,2,N0,T3,CH,POC,0,10,0.312410557,0.496736521,0.464472923,4.644729231,0.628926089,1.7152035,17.152035,2.322495404,2.090245863,20.90245863,2.830326786,5.15282219,120.94,120940,1209400,1.64E+05,
G036_Poc2_CH_N0.T1,G,36,2,N0,T1,CH,POC,0,15,0.326788087,0.307072666,0.422333714,6.335005714,1.064204413,1.13128575,16.96928625,2.850635046,2.565571542,38.48357313,6.46477528,9.315410327,188.897959,188897.959,2833469.385,4.76E+05,
G037_Poc2_CH_N2.T3,G,37,2,N2,T3,CH,POC,0,10,0.63854169,0.602171327,0.390669744,3.906697436,1.060398696,0.78270525,7.8270525,2.124504495,1.912054045,19.12054045,5.189906945,7.31441144,115.64,115640,1156400,3.14E+05,
G038_Poc2_CH_N4.T3,G,38,2,N4,T3,CH,POC,0,10,0.377780735,0.613335439,0.265537026,2.655370256,0.615944735,2.58896175,25.8896175,6.005404917,5.404864425,54.04864425,12.53722632,18.54263124,192.795918,192795.918,1927959.18,4.47E+05,
G039_Poc2_CH_N3.T1,G,39,2,N3,T1,CH,POC,0,10,0.29209253,0.285392673,0.808459803,8.084598028,1.023475924,6.8649135,68.649135,8.690690202,7.821621182,78.21621182,9.901841672,18.59253187,365.28,365280,3652800,4.62E+05,
G040_Poc2_CH_N4.T1,G,40,2,N4,T1,CH,POC,0,10,0.303829763,0.243624226,0.612782637,6.127826374,1.247124593,4.15667775,41.5667775,8.459598446,7.613638601,76.13638601,15.4951452,23.95474364,359.816327,359816.327,3598163.27,7.32E+05,
G041_Poc3_CH_N1.T2,G,41,3,N1,T2,CH,POC,0,10,0.695048626,0.802046711,0.372284007,3.722840073,0.8665937,1.36782525,13.6782525,3.183990503,2.865591453,28.65591453,6.67045441,9.854444913,117.48,117480,1174800,2.73E+05,
G042_Poc3_CH_N1.T1,G,42,3,N1,T1,CH,POC,0,10,0.680067761,0.5798723,0.756782535,7.567825348,1.172788837,1.96418475,19.6418475,3.043904746,2.739514271,27.39514271,4.24543592,7.289340666,196.673469,196673.469,1966734.69,3.05E+05,
G043_Poc3_CH_N3.T3,G,43,3,N3,T3,CH,POC,0,10,0.297798265,0.334265621,0.839224852,8.392248521,0.890903062,6.604857,66.04857,7.011574203,6.310416783,63.10416783,6.699002799,13.710577,351.56,351560,3515600,3.73E+05,
G044_Poc3_CH_T0,G,44,3,T0,T0,T0,POC,0,10,0,,0.569062571,5.690625714,0.85826864,1.6321815,16.321815,2.461680431,2.215512388,22.15512388,3.341468758,5.80314919,244.530612,244530.612,2445306.12,3.69E+05,
G045_Poc3_CH_N4.T3,G,45,3,N4,T3,CH,POC,0,10,0.467362863,0.55833588,0.59150274,5.915027399,0.837063998,6.20678925,62.0678925,8.783526215,7.905173594,79.05173594,11.18699165,19.97051786,273.428571,273428.571,2734285.71,3.87E+05,
G046_Poc3_TP_N4.T1,G,46,3,N4,T1,TP,POC,1,10,0.383849702,0.318560403,0.667464462,6.674644615,1.204951081,6.967344,69.67344,12.57791114,11.32012003,113.2012003,20.4358309,33.01374204,392.428571,392428.571,3924285.71,7.08E+05,
G047_Poc3_TP_N3.T1,G,47,3,N3,T1,TP,POC,0,10,0.264570429,0.521990476,0.502681905,5.026819048,0.50684915,3.8086875,38.086875,3.840261609,3.456235448,34.56235448,3.484887721,7.325149329,381.714286,381714.286,3817142.86,3.85E+05,
G048_Poc3_CH_N0.T2,G,48,3,N0,T2,CH,POC,0,10,0.542432414,0.861565585,0.414825465,4.148254652,0.629589231,1.561509,15.61509,2.369934665,2.132941199,21.32941199,3.237209191,5.607143856,232.42,232420,2324200,3.53E+05,
G049_Poc3_CH_N0.T1,G,49,3,N0,T1,CH,POC,0,15,0.365595022,0.486627193,0.539207714,8.088115714,0.751283585,1.9287285,28.9309275,2.687317007,2.418585306,36.2787796,3.369839471,6.057156478,207.64,207640,3114600,2.89E+05,
G050_Poc3_CH_N2.T1,G,50,3,N2,T1,CH,POC,0,10,0.605909,0.684331154,0.839598418,8.395984176,0.88540321,3.83625075,38.3625075,4.045539698,3.640985728,36.40985728,3.839621876,7.885161574,313.22449,313224.49,3132244.9,3.30E+05,
G051_Poc3_TP_N0.T1,G,51,3,N0,T1,TP,POC,0,10,0.440082138,0.486032779,0.726033934,7.260339341,0.905457732,1.742787,17.42787,2.173479628,1.956131665,19.56131665,2.439547877,4.613027505,264.489796,264489.796,2644897.96,3.30E+05,
G052_Poc3_CH_N2.T3,G,52,3,N2,T3,CH,POC,0,10,0.66738492,0.592335549,0.763766462,7.637664615,1.126700771,4.8137985,48.137985,7.101268197,6.391141378,63.91141378,9.428148895,16.52941709,321.755102,321755.102,3217551.02,4.75E+05,
G053_Poc3_CH_N2.T2,G,53,3,N2,T2,CH,POC,0,10,0.462386189,0.820142431,0.336484396,3.364843956,0.563787669,4.43679975,44.3679975,7.433964309,6.690567878,66.90567878,11.21020682,18.64417113,250.081633,250081.633,2500816.33,4.19E+05,
G054_Poc3_CH_N4.T1,G,54,3,N4,T1,CH,POC,0,10,0.446629336,0.383142979,0.826534733,8.265347326,1.165698866,3.57324525,35.7324525,5.039507442,4.535556698,45.35556698,6.396698276,11.43620572,388.918367,388918.367,3889183.67,5.49E+05,
G055_Poc3_CH_N3.T1,G,55,3,N3,T1,CH,POC,0,18.5,0.344746434,0.488143864,0.495967766,9.175403663,0.70623941,2.56360875,47.42676188,3.650482262,3.285434036,60.78052967,4.678334271,8.328816534,357.510204,357510.204,6613938.774,5.09E+05,
G056_Poc3_CH_N3.T2,G,56,3,N3,T2,CH,POC,1,10,0.48691475,0.824538602,0.268847846,2.688478462,0.590529963,2.34231375,23.4231375,5.144941539,4.630447385,46.30447385,10.17087531,15.31581685,197.061224,197061.224,1970612.24,4.33E+05,
G057_Poc3_CH_N1.T3,G,57,3,N1,T3,CH,POC,0,10,0.751070444,0.870172977,0.540703297,5.407032967,0.86312775,4.04482275,40.4482275,6.456773581,5.811096223,58.11096223,9.27628598,15.73305956,115.734694,115734.694,1157346.94,1.85E+05,
G058_Poc3_CH_T0,G,58,3,T0,T0,T0,POC,0,10,0,,0.364738462,3.647384615,0.469523045,1.86866775,18.6866775,2.405511523,2.16496037,21.6496037,2.786925133,5.192436656,264.46,264460,2644600,3.40E+05,
G059_Poc3_CH_N0.T3,G,59,3,N0,T3,CH,POC,0,10,0.48382317,0.751669569,0.270834308,2.708343077,0.643664704,0.42717225,4.2717225,1.015217393,0.913695653,9.136956533,2.171488712,3.186706104,69.44898,69448.98,694489.8,1.65E+05,
G060_Poc3_CH_N4.T2,G,60,3,N4,T2,CH,POC,0,10,0.549445564,0.438283911,0.856740659,8.567406593,1.253629326,7.033599,70.33599,10.29194293,9.262748637,92.62748637,13.55375539,23.84569832,451.16,451160,4511600,6.60E+05,
G061_Poc4_CH_N3.T3,G,61,4,N3,T3,CH,POC,0,10,0.383590237,0.458469771,0.414443385,4.144433846,0.83667509,3.25279725,32.5279725,6.566721853,5.910049668,59.10049668,11.93116242,18.49788427,238.4375,238437.5,2384375,4.81E+05,
G062_Poc4_CH_N1.T3,G,62,4,N1,T3,CH,POC,0,10,0.654180176,0.924245284,0.249634418,2.496344176,0.707799312,0.96426525,9.6426525,2.734023167,2.46062085,24.6062085,6.976705226,9.710728393,106.26,106260,1062600,3.01E+05,
G063_Poc4_CH_N2.T1,G,63,4,N2,T1,CH,POC,0,10,0.369799735,0.407206857,0.399947114,3.999471136,0.908137299,3.26763225,32.6763225,7.419627807,6.677665027,66.77665027,15.16259644,22.58222425,375.510204,375510.204,3755102.04,8.53E+05,
G064_Poc4_CH_T0,G,64,4,T0,T0,T0,POC,0,10,0,,0.505642571,5.056425714,1.434695003,1.3337475,13.337475,3.784334986,3.405901487,34.05901487,9.663802298,13.44813728,154.98,154980,1549800,4.40E+05,
G066_Poc4_CH_N1.T2,G,66,4,N1,T2,CH,POC,0,10,0.468979058,0.405584438,0.435005971,4.350059707,1.15630437,1.67809575,16.7809575,4.460604176,4.014543758,40.14543758,10.67119719,15.13180137,264.306122,264306.122,2643061.22,7.03E+05,
G067_Poc4_CH_T0,G,67,4,T0,T0,T0,POC,0,10,0,,0.894437399,8.944373993,1.008345764,4.17671025,41.7671025,4.708622526,4.237760273,42.37760273,4.77744739,9.486069915,2.755102,2755.102,27551.02,3.11E+03,
G068_Poc4_CH_N0.T2,G,68,4,N0,T2,CH,POC,0,10,0.306863892,0.445103319,0.304907436,3.049074359,0.689421713,1.26976875,12.6976875,2.87105542,2.583949878,25.83949878,5.842531014,8.713586434,175.836735,175836.735,1758367.35,3.98E+05,
G069_Poc4_TP_N4.T3,G,69,4,N4,T3,TP,POC,1,10,0.220907632,0.545325345,0.190794287,1.907942868,0.405093278,2.664243,26.64243,5.656704658,5.091034192,50.91034192,10.80925307,16.46595773,384.795918,384795.918,3847959.18,8.17E+05,
G070_Poc4_CH_N2.T3,G,70,4,N2,T3,CH,POC,0,10,0.526255485,0.502676057,0.305991209,3.059912088,1.046907798,1.43676825,14.3676825,4.915709478,4.42413853,44.2413853,15.13659541,20.05230489,255.816327,255816.327,2558163.27,8.75E+05,
G072_Poc4_CH_N0.T3,G,72,4,N0,T3,CH,POC,1,10,0.68276956,1.466991616,0.228208154,2.282081538,0.465421583,0.58385025,5.8385025,1.190739696,1.071665726,10.71665726,2.185620235,3.37635993,155.56,155560,1555600,3.17E+05,
G073_Poc4_CH_N1.T1,G,73,4,N1,T1,CH,POC,0,10,0.435772842,0.467199138,0.503528571,5.035285714,0.932734686,2.028114,20.28114,3.75687177,3.381184593,33.81184593,6.263295332,10.0201671,390.836735,390836.735,3908367.35,7.24E+05,
G074_Poc4_CH_N3.T1,G,74,4,N3,T1,CH,POC,0,10,0.247043939,0.227444843,0.616606,6.16606,1.086170766,3.18161925,31.8161925,5.604521877,5.044069689,50.44069689,8.885286611,14.48980849,394.816327,394816.327,3948163.27,6.95E+05,
G075_Poc4_CH_N4.T1,G,75,4,N4,T1,CH,POC,1,10,0.158739385,0.303126684,0.537241875,5.372418755,0.523673412,5.10878775,51.0878775,4.97976132,4.481785188,44.81785188,4.368594198,9.348355519,453.52,453520,4535200,4.42E+05,
G076_Poc4_CH_N4.T3,G,76,4,N4,T3,CH,POC,0,10,0.260955088,0.464007583,0.292478462,2.924784615,0.562394015,2.84098725,28.4098725,5.462809871,4.916528884,49.16528884,9.453777913,14.91658778,349.36,349360,3493600,6.72E+05,
G077_Poc4_CH_N3.T2,G,77,4,N3,T2,CH,POC,1,10,0.293828763,0.376840369,0.384145736,3.841457363,0.77971679,3.430734,34.30734,6.963505384,6.267154845,62.67154845,12.72070831,19.68421369,268.877551,268877.551,2688775.51,5.46E+05,
G078_Poc4_CH_N4.T2,G,78,4,N4,T2,CH,POC,0,10,0.281615567,0.256071651,0.512290022,5.12290022,1.099753004,6.40384275,64.0384275,13.74737941,12.37264147,123.7264147,26.56083281,40.30821223,438.571429,438571.429,4385714.29,9.41E+05,
G079_Poc4_CH_N2.T2,G,79,4,N2,T2,CH,POC,0,10,0.298425325,0.611723237,0.295819048,2.958190476,0.487843697,2.32510725,23.2510725,3.834401218,3.450961096,34.50961096,5.691079166,9.525480384,346.183673,346183.673,3461836.73,5.71E+05,
G080_Poc4_CH_N0.T1,G,80,4,N0,T1,CH,POC,0,15,0.279133224,0.198174832,0.700047875,10.50071813,1.408520044,2.498478,37.47717,5.027022388,4.524320149,67.86480224,9.10308543,14.13010782,190.693878,190693.878,2860408.17,3.84E+05,
G081_Poc5_CH_N2.T2,G,81,5,N2,T2,CH,POC,1,10,0.66895645,0.832695251,0.347721637,3.477216374,0.803362874,1.148286,11.48286,2.652956393,2.387660753,23.87660753,5.516360784,8.169317176,235.734694,235734.694,2357346.94,5.45E+05,
G082_Poc5_CH_N3.T2,G,82,5,N3,T2,CH,POC,2,10,0.198509097,0.319315707,0.354178462,3.541784615,0.621670317,2.690118,26.90118,4.721818775,4.249636897,42.49636897,7.459158032,12.18097681,68.897959,68897.959,688979.59,1.21E+05,
G083_Poc5_CH_T0,G,83,5,T0,T0,T0,POC,0,10,0,,0.213738,2.13738,0.269570084,0.9858885,9.858885,1.243419728,1.119077755,11.19077755,1.411400334,2.654820062,94.653061,94653.061,946530.61,1.19E+05,
G084_Poc5_CH_T0,G,84,5,T0,T0,T0,POC,0,10,0,,0.305663414,3.056634139,0.432989799,1.322802,13.22802,1.873825084,1.686442576,16.86442576,2.388942867,4.262767951,100.408163,100408.163,1004081.63,1.42E+05,
G085_Poc5_CH_N4.T1,G,85,5,N4,T1,CH,POC,2,10,0.107100553,1.075978144,0.071471436,0.714714359,0.099537852,1.73477625,17.3477625,2.416012768,2.174411491,21.74411491,3.028290204,5.444302972,20.94,20940,209400,2.92E+04,
G086_Poc5_CH_N4.T3,G,86,5,N4,T3,CH,POC,2,15,0.102914141,0.436638544,0.221014095,3.315211429,0.235696418,3.4962015,52.4430225,3.728459809,3.355613828,50.33420742,3.578532671,7.30699248,164.44898,164448.98,2466734.7,1.75E+05,
G087_Poc5_TP_N3.T2,G,87,5,N3,T2,TP,POC,0,10,0.076302352,0.277206071,0.522227223,5.222272234,0.275254981,2.60442075,26.0442075,1.372735377,1.235461839,12.35461839,0.65118594,2.023921317,311.428571,311428.571,3114285.71,1.64E+05,
G088_Poc5_CH_N0.T1,G,88,5,N0,T1,CH,POC,0,15,0.196645268,0.369603531,0.310076,4.65114,0.532043802,1.38177375,20.72660625,2.370916034,2.13382443,32.00736646,3.661321946,6.03223798,143.632653,143632.653,2154489.795,2.46E+05,
G089_Poc5_CH_N0.T3,G,89,5,N0,T3,CH,POC,0,10,0.521949217,0.930236751,0.369619385,3.696193846,0.561092879,1.43388075,14.3388075,2.176672306,1.959005076,19.59005076,2.973826168,5.150498474,102.7,102700,1027000,1.56E+05,
G090_Poc5_TP_N4.T3,G,90,5,N4,T3,TP,POC,1,10,0.550373758,0.767853907,0.371187531,3.711875311,0.716768845,4.73317575,47.3317575,9.139835343,8.225851808,82.25851808,15.88424666,25.024082,228.346939,228346.939,2283469.39,4.41E+05,
G091_Poc5_CH_N1.T2,G,91,5,N1,T2,CH,POC,0,10,1.452869605,1.137296996,0.361999817,3.619998168,1.27747599,1.8385725,18.385725,6.488213848,5.839392463,58.39392463,20.60687139,27.09508523,213.877551,213877.551,2138775.51,7.55E+05,
G092_Poc5_CH_N1.T1,G,92,5,N1,T1,CH,POC,0,10,0.944815161,1.312017535,0.368966681,3.689666813,0.720123882,1.4228055,14.228055,2.776934266,2.49924084,24.9924084,4.877846992,7.654781259,149,149000,1490000,2.91E+05,
G093_Poc5_TP_N0.T3,G,93,5,N0,T3,TP,POC,0,10,0.877723514,1.333552333,0.451215326,4.51215326,0.658184529,1.014603,10.14603,1.479994049,1.331994644,13.31994644,1.942970943,3.422964992,191.571429,191571.429,1915714.29,2.79E+05,
G094_Poc5_CH_N3.T1,G,94,5,N3,T1,CH,POC,0,10,0.281167368,0.387666823,0.478476073,4.784760733,0.725280967,2.18040975,21.8040975,3.305096701,2.974587031,29.74587031,4.508922134,7.814018835,243.54,243540,2435400,3.69E+05,
G095_Poc5_CH_N1.T3,G,95,5,N1,T3,CH,POC,0,10,0.532090444,0.712602224,0.272991267,2.729912674,0.746686477,1.88722275,18.8722275,5.161936938,4.645743244,46.45743244,12.7070499,17.86898684,59.367347,59367.347,593673.47,1.62E+05,
G096_Poc5_CH_N2.T1,G,96,5,N2,T1,CH,POC,0,10,0.232956505,0.350789587,0.296615429,2.966154286,0.664091848,,,,,,,,,,,,
G097_Poc5_CH_N3.T3,G,97,5,N3,T3,CH,POC,0,10,0.795253819,1.137222439,0.628574176,6.285741758,0.699294872,5.9212905,59.212905,6.587493153,5.928743838,59.28743838,6.595785064,13.18327822,212.020408,212020.408,2120204.08,2.36E+05,
G098_Poc5_CH_N2.T3,G,98,5,N2,T3,CH,POC,2,10,0.197721846,0.280826791,0.531586813,5.315868132,0.704070454,3.8101215,38.101215,5.046389243,4.541750319,45.41750319,6.015409208,11.06179845,127.9,127900,1279000,1.69E+05,
G099_Poc5_CH_N0.T2,G,99,5,N0,T2,CH,POC,2,10,0.133569078,0.873172173,0.238325018,2.383250183,0.152969921,1.9431225,19.431225,1.247201394,1.122481255,11.22481255,0.72046934,1.967670734,61.6,61600,616000,3.95E+04,
G100_Poc5_CH_N4.T2,G,100,5,N4,T2,CH,POC,2,10,0.311549869,0.661001671,0.205310564,2.053105641,0.471329927,1.57516275,15.7516275,3.616089351,3.254480416,32.54480416,7.471286362,11.08737571,151.571429,151571.429,1515714.29,3.48E+05,
R001_Poc6_CH_N4.T2,R,1,6,N4,T2,CH,POC,0,10,0.759606552,0.575816529,0.518553209,5.185532088,1.319181569,3.91929975,39.1929975,9.970564076,8.973507668,89.73507668,22.82829559,32.79885966,259.510204,259510.204,2595102.04,6.60E+05,
R002_Poc6_CH_T0,R,2,6,T0,T0,T0,POC,0,10,0,,0.725635495,7.256354945,0.88535887,2.13299475,21.3299475,2.602499239,2.342249315,23.42249315,2.857813907,5.460313146,209.714286,209714.286,2097142.86,2.56E+05,
R003_Poc6_CH_N3.T2,R,3,6,N3,T2,CH,POC,0,10,0.633970559,0.676474249,0.494900293,4.94900293,0.937168799,5.30448225,53.0448225,10.04484202,9.040357815,90.40357815,17.11928926,27.16413128,511.96,511960,5119600,9.69E+05,
R004_Poc6_CH_N1.T2,R,4,6,N1,T2,CH,POC,0,10,0.713378099,0.985912994,0.541482755,5.414827546,0.723571049,3.49242975,34.9242975,4.66685418,4.200168762,42.00168762,5.612589672,10.27944385,282.469388,282469.388,2824693.88,3.77E+05,
R005_Poc6_TP_N3.T1,R,5,6,N3,T1,TP,POC,0,10,0.399751185,0.655172081,0.414311121,4.143111209,0.610146855,3.18995175,31.8995175,4.697771625,4.227994463,42.27994463,6.226474246,10.92424587,510.1,510100,5101000,7.51E+05,
R006_Poc6_CH_N0.T1,R,6,6,N0,T1,CH,POC,0,15,0.423372458,0.629495612,0.349765275,5.246479121,0.672558236,1.15723575,17.35853625,2.225230722,2.002707649,30.04061474,3.850975558,6.076206279,117.816327,117816.327,1767244.905,2.27E+05,
R007_Poc6_CH_N2.T3,R,7,6,N2,T3,CH,POC,0,10,0.312222908,0.390515058,0.787778571,7.877785714,0.799515671,3.2329365,32.329365,3.281103966,2.952993569,29.52993569,2.99699017,6.278094135,172.795918,172795.918,1727959.18,1.75E+05,
R008_Poc6_TP_N0.T2,R,8,6,N0,T2,TP,POC,0,10,0.573653798,1.417619014,0.392543571,3.925435714,0.404660062,1.36783125,13.6783125,1.410051567,1.26904641,12.6904641,1.308217573,2.71826914,199.84,199840,1998400,2.06E+05,
R009_Poc6_CH_N2.T1,R,9,6,N2,T1,CH,POC,0,10,0.518346435,1.008122513,0.278236571,2.782365714,0.514170081,3.0235485,30.235485,5.587396977,5.028657279,50.28657279,9.292757989,14.88015497,275.489796,275489.796,2754897.96,5.09E+05,
R010_Poc6_CH_N4.T3,R,10,6,N4,T3,CH,POC,0,10,0.410721421,1.037048144,0.248660103,2.486601026,0.396048557,3.12242625,31.2242625,4.973183866,4.47586548,44.7586548,7.128847956,12.10203182,314.64,314640,3146400,5.01E+05,
R011_Poc6_CH_N2.T2,R,11,6,N2,T2,CH,POC,0,10,0.55130059,0.681490378,0.710338923,7.103389231,0.808963131,6.494445,64.94445,7.396140621,6.656526559,66.56526559,7.580725755,14.97686638,358.44898,358448.98,3584489.8,4.08E+05,
R012_Poc6_CH_N0.T3,R,12,6,N0,T3,CH,POC,0,10,0.477651792,0.573839957,0.394194945,3.941949451,0.832378063,0.9783105,9.783105,2.065790566,1.85921151,18.5921151,3.925892237,5.991682803,99.142857,99142.857,991428.57,2.09E+05,
R013_Poc6_CH_N1.T3,R,13,6,N1,T3,CH,POC,0,10,0.74409717,0.746618913,0.612016,6.12016,0.99662245,3.246756,32.46756,5.287100207,4.758390187,47.58390187,7.748683837,13.03578404,138.857143,138857.143,1388571.43,2.26E+05,
R014_Poc6_CH_N3.T3,R,14,6,N3,T3,CH,POC,1,10,0.462978961,1.172282129,0.439961055,4.399610549,0.394938172,7.472751,74.72751,6.708036047,6.037232443,60.37232443,5.419419549,12.1274556,389.469388,389469.388,3894693.88,3.50E+05,
R015_Poc6_CH_N4.T1,R,15,6,N4,T1,CH,POC,0,10,0.405353117,0.275414686,0.969164073,9.691640733,1.471791948,5.28706725,52.8706725,8.029046083,7.226141475,72.26141475,10.97376299,19.00280907,430.489796,430489.796,4304897.96,6.54E+05,
R016_Poc6_TP_N4.T2,R,16,6,N4,T2,TP,POC,0,10,0.381206124,0.416386257,0.521519143,5.215191429,0.915510822,5.41535625,54.1535625,9.506491406,8.555842265,85.55842265,15.01951805,24.52600946,471.32,471320,4713200,8.27E+05,
R017_Poc6_CH_T0,R,17,6,T0,T0,T0,POC,0,10,0,,0.213867429,2.138674286,0.460180062,0.92948775,9.2948775,1.99998538,1.799986842,17.99986842,3.873044446,5.873029825,113.408163,113408.163,1134081.63,2.44E+05,
R018_Poc6_CH_N3.T1,R,18,6,N3,T1,CH,POC,0,10,0.532823214,0.751468251,0.602052484,6.020524835,0.709042882,4.63896075,46.3896075,5.463347777,4.917012999,49.17012999,5.79081253,11.25416031,356.102041,356102.041,3561020.41,4.19E+05,
R019_Poc6_CH_N1.T1,R,19,6,N1,T1,CH,POC,0,10,0.500507908,1.11198354,0.35396578,3.539657802,0.450103702,2.08886325,20.8886325,2.656203325,2.390582992,23.90582992,3.039870844,5.696074169,401.163265,401163.265,4011632.65,5.10E+05,
R020_Poc6_CH_N0.T2,R,20,6,N0,T2,CH,POC,0,10,0.511318481,0.679117289,0.41969159,4.196915897,0.752916307,0.72761475,7.2761475,1.305322823,1.174790541,11.74790541,2.107545105,3.412867928,100.857143,100857.143,1008571.43,1.81E+05,
R021_Poc7_CH_N3.T2,R,21,7,N3,T2,CH,POC,0,10,0.548330815,0.549877933,0.501932864,5.019328645,0.997186435,3.2263125,32.263125,6.409691987,5.768722788,57.68722788,11.46068034,17.87037232,334.22449,334224.49,3342244.9,6.64E+05,
R022_Poc7_CH_N0.T3,R,22,7,N0,T3,CH,POC,0,10,0.444707694,0.337195158,0.657410242,6.574102418,1.318843651,1.963299,19.63299,3.938612843,3.544751559,35.44751559,7.111196009,11.04980885,111.510204,111510.204,1115102.04,2.24E+05,
R023_Poc7_CH_N0.T1,R,23,7,N0,T1,CH,POC,0,15,0.235251274,0.247478915,0.548399004,8.225985055,0.95059118,1.34415075,20.16226125,2.329941956,2.09694776,31.45421641,3.634835279,5.964777235,178.08,178080,2671200,3.09E+05,
R024_Poc7_CH_N2.T1,R,24,7,N2,T1,CH,POC,0,10,0.393553778,0.450224646,0.492368066,4.923680659,0.874127575,2.668728,26.68728,4.73793671,4.264143039,42.64143039,7.570363049,12.30829976,305.673469,305673.469,3056734.69,5.43E+05,
R025_Poc7_CH_N1.T2,R,25,7,N1,T2,CH,POC,0,10,0.58151674,0.552614273,0.548508066,5.485080659,1.052301342,2.18936025,21.8936025,4.200242205,3.780217985,37.80217985,7.252269755,11.45251196,188.244898,188244.898,1882448.98,3.61E+05,
R026_Poc7_CH_N4.T2,R,26,7,N4,T2,CH,POC,0,10,0.513568863,0.810295159,0.21215959,2.121595897,0.633804679,2.441913,24.41913,7.294960775,6.565464697,65.65464697,19.61364202,26.9086028,212.92,212920,2129200,6.36E+05,
