Date,Sample,Species,AreaCM,TubeRep,TechRep,Symbionts.cm2
8/18/18,PVAR148,PVAR,0.522,1,2,954022.9885
8/18/18,PVAR148,PVAR,0.522,2,1,873563.2184
8/18/18,PVAR148,PVAR,0.522,2,2,655172.4138
8/18/18,PACU111,PACU,0.191,1,1,219895.288
8/18/18,PACU111,PACU,0.191,1,2,628272.2513
8/18/18,PACU111,PACU,0.191,2,1,722513.089
8/18/18,PACU111,PACU,0.191,2,2,502617.801
8/18/18,PACU4,PACU,0.326,1,1,699386.5031
8/18/18,PACU4,PACU,0.326,1,2,644171.7791
8/18/18,PACU4,PACU,0.326,2,1,533742.3313
8/18/18,PACU4,PACU,0.326,2,2,570552.1472
8/18/18,PACU2,PACU,0.235,1,1,331914.8936
8/18/18,PACU2,PACU,0.235,1,2,229787.234
8/18/18,PACU2,PACU,0.235,2,1,510638.2979
8/18/18,PACU2,PACU,0.235,2,2,204255.3191
8/18/18,PACU109,PACU,0.244,1,1,811475.4098
8/18/18,PACU109,PACU,0.244,1,2,516393.4426
8/18/18,PACU109,PACU,0.244,2,1,565573.7705
8/18/18,PACU109,PACU,0.244,2,2,934426.2295
8/18/18,PACU85,PACU,0.353,1,1,373937.6771
8/18/18,PACU85,PACU,0.353,1,2,339943.3428
8/18/18,PACU85,PACU,0.353,2,1,305949.0085
8/18/18,PACU85,PACU,0.353,2,2,254957.5071
8/18/18,PACU18,PACU,0.457,1,1,301969.3654
8/18/18,PACU18,PACU,0.457,1,2,446389.4967
8/18/18,PACU18,PACU,0.457,2,1,446389.4967
8/18/18,PACU18,PACU,0.457,2,2,367614.8796
8/18/18,PCOM3,PCOM,0.356,1,1,842696.6292
8/18/18,PCOM3,PCOM,0.356,1,2,252808.9888
8/18/18,PCOM3,PCOM,0.356,2,1,589887.6404
8/18/18,PCOM3,PCOM,0.356,2,2,556179.7753
8/18/18,PCOM31,PCOM,0.553,1,1,640144.6655
8/18/18,PCOM31,PCOM,0.553,1,2,716094.0325
8/18/18,PCOM31,PCOM,0.553,2,1,575045.208
8/18/18,PCOM31,PCOM,0.553,2,2,477396.0217
8/18/18,PCOM107,PCOM,0.43,1,1,683720.9302
8/18/18,PCOM107,PCOM,0.43,1,2,795348.8372
8/18/18,PCOM107,PCOM,0.43,2,1,865116.2791
8/18/18,PCOM107,PCOM,0.43,2,2,600000
8/18/18,PCOM25,PCOM,0.639,1,1,676056.338
8/18/18,PCOM25,PCOM,0.639,1,2,835680.7512
8/18/18,PCOM25,PCOM,0.639,2,1,1070422.535
8/18/18,PCOM25,PCOM,0.639,2,2,1023474.178
8/18/18,PCOM19,PCOM,0.547,1,1,822669.1042
8/18/18,PCOM19,PCOM,0.547,1,2,570383.9122
8/18/18,PCOM19,PCOM,0.547,2,1,691042.0475
8/18/18,PCOM19,PCOM,0.547,2,2,570383.9122
8/18/18,PCOM74,PCOM,0.71,1,1,405633.8028
8/18/18,PCOM74,PCOM,0.71,1,2,278873.2394
8/18/18,PCOM74,PCOM,0.71,2,1,473239.4366
8/18/18,PCOM74,PCOM,0.71,2,2,304225.3521
