Placement,Slurry Label,GENOTYPE,T0/T1,Symbiont_Filter_Before_Weight,Symbiont_Filter_After_Weight,Symbiont_dry_weight,Notes,Host_Filter_Before_Weight,Host_Filter_After_Weight,Host_dry_weight
PAC V14 A,PAC 57,,T1,34.29,,-34.29,,,,0
PAC V13 A,PAC 58,,T1,35.36,,-35.36,,,,0
PAC V13 B,PAC 59,,T1,34.83,,-34.83,,,,0
PAC V13 C,PAC 60,,T1,34.58,,-34.58,,,,0
NA,PR02,PR02,T0,37.26,37.45,0.19,,,,0
NA,PR03,PR03,T0,37.55,37.8,0.25,,,,0
NA,PR04,PR04,T0,37.41,37.71,0.3,,,,0
NA,PR06,PR06,T0,37.79,38.04,0.25,,,,0
NA,PR07,PR07,T0,37.2,37.55,0.35,,,,0
NA,PR08,PR08,T0,37.28,37.44,0.16,,,,0
PRU V01 A,PRU 01,,T1,37.08,37.26,0.18,,,,0
PRU V01 C,PRU 02,,T1,37.49,39,1.51,,,,0
PRU V01 B,PRU 03,,T1,37.42,39.56,2.14,,,,0
PRU V02 C,PRU 04,,T1,36.67,36.79,0.12,,,,0
PRU V02 B,PRU 05,,T1,37.27,37.41,0.14,,,,0
PRU V02 A,PRU 06,,T1,36.79,36.77,-0.02,,,,0
PRU V03 C,PRU 07,,T1,36.83,36.86,0.03,,,,0
PRU V03 B,PRU 08,,T1,36.91,36.79,-0.12,,,,0
PRU V03 A,PRU 09,,T1,36.85,36.89,0.04,,,,0
PRU V16 C,PRU 10,,T1,36.74,36.64,-0.1,,,,0
PRU V16 B,PRU 11,,T1,36.6,36.83,0.23,,,,0
PRU V16 A,PRU 12,,T1,36.14,37.36,1.22,,,,0
PRU V04 C,PRU 13,,T1,37.23,37.29,0.06,,,,0
PRU V04 B,PRU 14,,T1,37.9,37.91,0.01,some stuck to foil,,,0
PRU V04 A,PRU 15,,T1,37.32,39.27,1.95,,,,0
PRU V05 C,PRU 16,,T1,38.05,39.13,1.08,,,,0
PRU V05 B,PRU 17,,T1,37.91,38.57,0.66,,,,0
PRU V05 A,PRU 18,,T1,37.31,37.34,0.03,,,,0
PRU V15 C,PRU 19,,T1,37.25,37.42,0.17,,,,0
PRU V15 B,PRU 20,,T1,37.4,37.63,0.23,,,,0
PRU V15 A,PRU 21,,T1,36.45,36.58,0.13,,,,0
PRU V06 C,PRU 22,,T1,37.23,37.31,0.08,,,,0
PRU V06 B,PRU 23,,T1,36.76,36.86,0.1,,,,0
PRU V06 A,PRU 24,,T1,37.26,NA,#VALUE!,NA,,,0
PRU V07 C,PRU 25,,T1,37.87,41.18,3.31,,,,0
PRU V07 B,PRU 26,,T1,36.78,37.44,0.66,,,,0
PRU V07 A,PRU 27,,T1,36.51,37.34,0.83,,,,0
PRU V11 C,PRU 28,,T1,37.47,37.87,0.4,,,,0
PRU V11 B,PRU 29,,T1,37.48,37.42,-0.06,,,,0
PRU V11 A,PRU 30,,T1,37.54,37.56,0.02,,,,0
PRU V12 C,PRU 31,,T1,37.19,37.22,0.03,,,,0
PRU V12 B,PRU 32,,T1,37.37,37.38,0.01,,,,0
PRU V12 A,PRU 33,,T1,36.8,36.87,0.07,,,,0
PRU V08 C,PRU 34,,T1,36.9,37.49,0.59,,,,0
PRU V08 B,PRU 35,,T1,37.55,37.69,0.14,,,,0
PRU V08 A,PRU 36,,T1,37.55,37.7,0.15,,,,0
PRU V18 C,PRU 37,,T1,37.81,38.09,0.28,,,,0
PRU V18 B,PRU 38,,T1,37.4,37.63,0.23,,,,0
PRU V18 A,PRU 39,,T1,37.49,37.94,0.45,,,,0
PRU V10 C,PRU 40,,T1,37.5,37.78,0.28,,,,0
PRU V10 B,PRU 41,,T1,37.19,37.29,0.1,,,,0
PRU V10 A,PRU 42,,T1,37.52,38.85,1.33,,,,0
PRU V09 C,PRU 43,,T1,38.04,38.92,0.88,,,,0
PRU V09 B,PRU 44,,T1,37.75,37.86,0.11,,,,0
PRU V09 A,PRU 45,,T1,38.05,37.97,-0.08,,,,0
PRU V19 C,PRU 46,,T1,37.52,37.75,0.23,,,,0
PRU V19 B,PRU 47,,T1,37.72,37.83,0.11,,,,0
PRU V19 A,PRU 48,,T1,37.88,38.04,0.16,,,,0
PRU V17 C,PRU 49,,T1,37.6,40.45,2.85,,,,0
PRU V17 B,PRU 50,,T1,37.53,39.06,1.53,,,,0
PRU V17 A,PRU 51,,T1,37.47,38.19,0.72,,,,0
PRU V20 C,PRU 52,,T1,37.42,37.68,0.26,,,,0
PRU V20 B,PRU 53,,T1,37.62,38.46,0.84,,,,0
PRU V20 A,PRU 54,,T1,37.92,38.16,0.24,,,,0
PRU V14 C,PRU 55,,T1,37.31,37.36,0.05,,,,0
PRU V14 B,PRU 56,,T1,37.9,39.55,1.65,,,,0
PRU V14 A,PRU 57,,T1,37.39,37.89,0.5,,,,0
PRU V13 A,PRU 58,,T1,37.87,37.8,-0.07,,,,0
PRU V13 B,PRU 59,,T1,37.49,37.68,0.19,,,,0
PRU V13 C,PRU 60,,T1,37.18,38.26,1.08,,,,0
NA,PRUS 061,PR01,T0,37.84,,-37.84,,,,0
NA,PRUS 064,PR02,T0,37.71,,-37.71,,,,0
NA,PRUS 065,PR04,T0,37.55,,-37.55,,,,0
NA,PRUS 078,PR08,T0,37.25,,-37.25,,,,0
NA,PRUS 079,PR06,T0,37.34,,-37.34,,,,0
NA,PRUS 080,PR03,T0,37.98,,-37.98,,,,0
